Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	0	0
OG0000318	0	0
OG0000319	0	0
OG0000320	0	0
OG0000321	0	0
OG0000322	0	0
OG0000323	0	0
OG0000324	0	0
OG0000325	0	0
OG0000326	0	0
OG0000327	0	0
OG0000328	0	0
OG0000329	0	0
OG0000330	0	0
OG0000331	0	0
OG0000332	0	0
OG0000333	0	0
OG0000334	0	0
OG0000335	0	0
OG0000336	0	0
OG0000337	0	0
OG0000338	0	0
OG0000339	0	0
OG0000340	0	0
OG0000341	0	0
OG0000342	0	0
OG0000343	0	0
OG0000344	0	0
OG0000345	0	0
OG0000346	0	0
OG0000347	0	0
OG0000348	0	0
OG0000349	0	0
OG0000350	0	0
OG0000351	0	0
OG0000352	0	0
OG0000353	0	0
OG0000354	0	0
OG0000355	0	0
OG0000356	0	0
OG0000357	0	0
OG0000358	0	0
OG0000359	0	0
OG0000360	0	0
OG0000361	0	0
OG0000362	0	0
OG0000363	0	0
OG0000364	0	0
OG0000365	0	0
OG0000366	0	0
OG0000367	0	0
OG0000368	0	0
OG0000369	0	0
OG0000370	0	0
OG0000371	0	0
OG0000372	0	0
OG0000373	0	0
OG0000374	0	0
OG0000375	0	0
OG0000376	0	0
OG0000377	0	0
OG0000378	0	0
OG0000379	0	0
OG0000380	0	0
OG0000381	0	0
OG0000382	0	0
OG0000383	0	0
OG0000384	0	0
OG0000385	0	0
OG0000386	0	0
OG0000387	0	0
OG0000388	0	0
OG0000389	0	0
OG0000390	0	0
OG0000391	0	0
OG0000392	0	0
OG0000393	0	0
OG0000394	0	0
OG0000395	0	0
OG0000396	0	0
OG0000397	0	0
OG0000398	0	0
OG0000399	1	1
OG0000400	0	0
OG0000401	0	0
OG0000402	0	0
OG0000403	0	0
OG0000404	0	0
OG0000405	0	0
OG0000406	0	0
OG0000407	0	0
OG0000408	0	0
OG0000409	0	0
OG0000410	0	0
OG0000411	0	0
OG0000412	0	0
OG0000413	0	0
OG0000414	0	0
OG0000415	0	0
OG0000416	0	0
OG0000417	0	0
OG0000418	0	0
OG0000419	0	0
OG0000420	0	0
OG0000421	0	0
OG0000422	0	0
OG0000423	0	0
OG0000424	0	0
OG0000425	0	0
OG0000426	0	0
OG0000427	0	0
OG0000428	0	0
OG0000429	0	0
OG0000430	0	0
OG0000431	0	0
OG0000432	0	0
OG0000433	0	0
OG0000434	0	0
OG0000435	0	0
OG0000436	0	0
OG0000437	0	0
OG0000438	0	0
OG0000439	0	0
OG0000440	0	0
OG0000441	0	0
OG0000442	0	0
OG0000443	0	0
OG0000444	0	0
OG0000445	0	0
OG0000446	0	0
OG0000447	0	0
OG0000448	0	0
OG0000449	0	0
OG0000450	0	0
OG0000451	0	0
OG0000452	0	0
OG0000453	0	0
OG0000454	0	0
OG0000455	0	0
OG0000456	0	0
OG0000457	0	0
OG0000458	0	0
OG0000459	0	0
OG0000460	0	0
OG0000461	0	0
OG0000462	0	0
OG0000463	0	0
OG0000464	0	0
OG0000465	0	0
OG0000466	0	0
OG0000467	0	0
OG0000468	0	0
OG0000469	0	0
OG0000470	0	0
OG0000471	0	0
OG0000472	0	0
OG0000473	0	0
OG0000474	0	0
OG0000475	0	0
OG0000476	0	0
OG0000477	0	0
OG0000478	0	0
OG0000479	0	0
OG0000480	0	0
OG0000481	0	0
OG0000482	0	0
OG0000483	0	0
OG0000484	0	0
OG0000485	0	0
OG0000486	0	0
OG0000487	0	0
OG0000488	0	0
OG0000489	0	0
OG0000490	0	0
OG0000491	0	0
OG0000492	0	0
OG0000493	0	0
OG0000494	0	0
OG0000495	0	0
OG0000496	0	0
OG0000497	0	0
OG0000498	0	0
OG0000499	0	0
OG0000500	0	0
OG0000501	0	0
OG0000502	0	0
OG0000503	0	0
OG0000504	0	0
OG0000505	0	0
OG0000506	0	0
OG0000507	0	0
OG0000508	0	0
OG0000509	0	0
OG0000510	0	0
OG0000511	0	0
OG0000512	0	0
OG0000513	0	0
OG0000514	0	0
OG0000515	0	0
OG0000516	0	0
OG0000517	0	0
OG0000518	0	0
OG0000519	0	0
OG0000520	0	0
OG0000521	0	0
OG0000522	0	0
OG0000523	0	0
OG0000524	0	0
OG0000525	0	0
OG0000526	0	0
OG0000527	0	0
OG0000528	0	0
OG0000529	0	0
OG0000530	0	0
OG0000531	0	0
OG0000532	0	0
OG0000533	0	0
OG0000534	0	0
OG0000535	0	0
OG0000536	0	0
OG0000537	0	0
OG0000538	0	0
OG0000539	0	0
OG0000540	0	0
OG0000541	0	0
OG0000542	0	0
OG0000543	0	0
OG0000544	0	0
OG0000545	0	0
OG0000546	0	0
OG0000547	0	0
OG0000548	0	0
OG0000549	0	0
OG0000550	0	0
OG0000551	0	0
OG0000552	0	0
OG0000553	0	0
OG0000554	0	0
OG0000555	0	0
OG0000556	0	0
OG0000557	0	0
OG0000558	0	0
OG0000559	0	0
OG0000560	0	0
OG0000561	0	0
OG0000562	0	0
OG0000563	0	0
OG0000564	0	0
OG0000565	0	0
OG0000566	0	0
OG0000567	0	0
OG0000568	0	0
OG0000569	0	0
OG0000570	0	0
OG0000571	0	0
OG0000572	0	0
OG0000573	0	0
OG0000574	0	0
OG0000575	0	0
OG0000576	0	0
OG0000577	0	0
OG0000578	1	1
OG0000579	0	0
OG0000580	0	0
OG0000581	0	0
OG0000582	0	0
OG0000583	0	0
OG0000584	0	0
OG0000585	0	0
OG0000586	0	0
OG0000587	0	0
OG0000588	0	0
OG0000589	0	0
OG0000590	0	0
OG0000591	0	0
OG0000592	0	0
OG0000593	0	0
OG0000594	0	0
OG0000595	0	0
OG0000596	0	0
OG0000597	0	0
OG0000598	0	0
OG0000599	0	0
OG0000600	0	0
OG0000601	0	0
OG0000602	0	0
OG0000603	0	0
OG0000604	0	0
OG0000605	0	0
OG0000606	0	0
OG0000607	0	0
OG0000608	0	0
OG0000609	0	0
OG0000610	0	0
OG0000611	0	0
OG0000612	0	0
OG0000613	0	0
OG0000614	0	0
OG0000615	0	0
OG0000616	0	0
OG0000617	0	0
OG0000618	0	0
OG0000619	0	0
OG0000620	0	0
OG0000621	0	0
OG0000622	0	0
OG0000623	0	0
OG0000624	0	0
OG0000625	0	0
OG0000626	0	0
OG0000627	0	0
OG0000628	0	0
OG0000629	0	0
OG0000630	0	0
OG0000631	0	0
OG0000632	0	0
OG0000633	0	0
OG0000634	0	0
OG0000635	0	0
OG0000636	0	0
OG0000637	0	0
OG0000638	0	0
OG0000639	0	0
OG0000640	0	0
OG0000641	0	0
OG0000642	0	0
OG0000643	0	0
OG0000644	0	0
OG0000645	0	0
OG0000646	0	0
OG0000647	0	0
OG0000648	0	0
OG0000649	0	0
OG0000650	0	0
OG0000651	0	0
OG0000652	0	0
OG0000653	0	0
OG0000654	0	0
OG0000655	0	0
OG0000656	0	0
OG0000657	0	0
OG0000658	0	0
OG0000659	0	0
OG0000660	0	0
OG0000661	0	0
OG0000662	0	0
OG0000663	0	0
OG0000664	0	0
OG0000665	0	0
OG0000666	0	0
OG0000667	0	0
OG0000668	0	0
OG0000669	0	0
OG0000670	0	0
OG0000671	0	0
OG0000672	0	0
OG0000673	0	0
OG0000674	0	0
OG0000675	0	0
OG0000676	0	0
OG0000677	0	0
OG0000678	0	0
OG0000679	0	0
OG0000680	0	0
OG0000681	0	0
OG0000682	0	0
OG0000683	0	0
OG0000684	0	0
OG0000685	0	0
OG0000686	0	0
OG0000687	0	0
OG0000688	0	0
OG0000689	0	0
